Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,1,10,0
Query 2,0,0,0
Query 3,1,10,0
Query 4,2,20,-24
Query 5,1,10,0
Query 6,0,0,0
Query 7,0,0,0
Query 8,0,0,0
Query 9,3,30,-0.25
Query 10,1,10,0
Query 11,0,0,0
Query 12,1,10,0
Query 13,3,30,-7.25
Query 14,0,0,0
Query 15,0,0,0
Query 16,1,10,0
Query 17,0,0,0
Query 18,0,0,0
Query 19,1,10,0
Query 20,2,20,-9
Query 21,0,0,0
Query 22,0,0,0
Query 23,2,20,-17
Query 24,2,20,-8
Query 25,1,10,0
Query 26,0,0,0
Query 27,0,0,0
Query 28,1,10,1
Query 29,0,0,0
Query 30,2,20,-28
Query 31,1,10,0
Query 32,0,0,0
Query 33,0,0,0
Query 34,0,0,0
Query 35,0,0,0
Query 36,1,10,0
Query 37,1,10,0
Query 38,1,10,0
Query 39,1,10,0
Query 40,0,0,0
Query 41,0,0,0
Query 42,0,0,0
Query 43,0,0,0
Query 44,1,10,0
Query 45,0,0,0
Query 46,1,10,0
Query 47,1,10,0
Query 48,0,0,0
Query 49,0,0,0
Query 50,1,10,0
Query 51,3,30,1
Query 52,1,10,0
Query 53,0,0,0
Query 54,0,0,0
Query 55,1,10,0
Query 56,0,0,0
Query 57,0,0,0
Query 58,4,40,-5.8
Query 59,1,10,0
Query 60,0,0,0
Query 61,1,10,0
Query 62,1,10,0
Query 63,0,0,0
Query 64,0,0,0
Query 65,0,0,0
Query 66,0,0,0
Query 67,0,0,0
Query 68,1,10,0
Query 69,0,0,0
Query 70,2,20,-40
Query 71,2,20,-72
Query 72,0,0,0
Query 73,0,0,0
Query 74,2,20,-35
Query 75,1,10,0
Query 76,2,20,-39
Query 77,0,0,0
Query 78,0,0,0
Query 79,0,0,0
Query 80,1,10,0
Query 81,0,0,0
Query 82,2,20,-16
Query 83,1,10,0
Query 84,1,10,0
Query 85,0,0,0
Query 86,1,10,0
Query 87,1,10,0
Query 88,0,0,0
Query 89,1,10,0
Query 90,1,10,0
Query 91,0,0,0
Query 92,1,10,0
Query 93,1,10,0
Query 94,2,20,-71
Query 95,0,0,0
Query 96,1,10,0
Query 97,1,10,0
Query 98,2,20,-35
Query 99,2,20,-9
Query 100,4,40,-3.7
Averages,0.79,7.9,-4.18
